192.168.0.1,00:25:90:78:20:90
192.168.0.2,00:25:90:78:23:3E
192.168.0.3,00:25:90:78:23:2A
192.168.0.4,00:25:90:78:22:0A
192.168.0.5,00:25:90:77:85:26
192.168.0.6,00:25:90:78:23:FE
192.168.0.7,00:25:90:78:23:B0
192.168.0.8,00:25:90:78:25:60
192.168.0.9,00:25:90:25:18:22
192.168.0.10,00:25:90:77:85:4A
192.168.0.11,00:25:90:78:23:A0
192.168.0.12,00:25:90:78:22:5C
192.168.0.13,00:25:90:78:25:66
192.168.0.14,00:25:90:78:22:80
192.168.0.15,00:25:90:78:23:16
192.168.0.16,00:25:90:26:DC:86
192.168.0.17,00:25:90:26:DF:D2
192.168.0.18,00:25:90:78:22:F4
192.168.0.19,00:25:90:78:24:76
192.168.0.20,00:25:90:78:25:88
192.168.0.21,00:25:90:78:23:30
192.168.0.22,00:25:90:78:22:A4
192.168.0.23,00:25:90:78:25:76
192.168.0.24,00:25:90:78:22:F0
192.168.0.25,00:25:90:78:24:52
192.168.0.26,00:25:90:78:25:68
192.168.0.27,00:25:90:78:21:F8
192.168.0.28,00:25:90:78:24:64
192.168.0.29,00:25:90:78:24:38
192.168.0.30,00:25:90:78:25:98
192.168.0.31,00:25:90:78:22:12
192.168.0.32,00:25:90:78:23:84
192.168.0.33,00:25:90:78:22:8E
192.168.0.34,00:25:90:77:83:F4
192.168.0.35,00:25:90:78:22:CA
192.168.0.36,00:25:90:78:25:74
192.168.0.37,00:25:90:78:23:9A
192.168.0.38,00:25:90:78:24:04
192.168.0.39,00:25:90:78:24:A6
192.168.0.40,00:25:90:78:22:AA
192.168.0.41,00:25:90:78:24:FC
192.168.0.42,00:25:90:78:22:32
192.168.0.43,00:25:90:78:24:56
192.168.0.44,00:25:90:78:25:9E
192.168.0.45,00:25:90:78:23:4C
192.168.0.46,00:25:90:78:22:E8
192.168.0.47,00:25:90:78:22:1E
192.168.0.48,00:25:90:78:22:56
192.168.0.49,00:25:90:78:24:A0
192.168.0.50,00:25:90:78:22:2E
192.168.0.51,00:25:90:78:22:EE
192.168.0.52,00:25:90:78:22:48
192.168.0.53,00:25:90:78:21:E2
192.168.0.54,00:25:90:77:82:3C
192.168.0.55,00:25:90:78:23:2E
192.168.0.56,00:25:90:78:22:EC
192.168.0.57,00:25:90:26:AB:82
192.168.0.58,00:25:90:78:23:E2
192.168.0.59,00:25:90:78:24:EA
192.168.0.60,00:25:90:78:25:4E
192.168.0.61,00:25:90:78:22:66
192.168.0.62,00:25:90:78:25:6C
192.168.0.63,00:25:90:26:AE:56
192.168.0.64,00:25:90:78:23:4E
192.168.0.65,00:25:90:26:DF:EE
192.168.0.66,00:25:90:78:23:68
192.168.0.67,00:25:90:78:23:34
192.168.0.68,00:25:90:78:22:FC
192.168.0.69,00:25:90:78:24:50
192.168.0.70,00:25:90:78:25:14
192.168.0.71,00:25:90:78:23:A6
192.168.0.72,00:25:90:78:22:C8
192.168.0.73,00:25:90:26:4F:F0
192.168.0.74,00:25:90:26:56:BC
192.168.0.75,00:25:90:78:24:70
